nombre,poblacion,superficie,continente
Argentina,46300000,2780400,Sudamérica
India,1463865525,2973190,Asia
China,1416096094,9388211,Asia
Estados Unidos,347275807,9147420,América del Norte
Indonesia,285721236,1811570,Asia
Pakistán,247504495,881913,Asia
Nigeria,237527782,910770,África
Brasil,212812405,8358140,Sudamérica
Bangladesh,171186372,147570,Asia
Rusia,143400000,17098242,Europa/Asia
México,130262216,1964375,América del Norte
Japón,125836021,377975,Asia
Etiopía,120283026,1104300,África
Filipinas,115559475,300000,Asia
Egipto,111000000,1002450,África
Vietnam,98460000,331212,Asia
RD del Congo,92378000,2344858,África
Irán,87600000,1648195,Asia
Turquía,86000000,783562,Europa/Asia
Alemania,84000000,357386,Europa
Tailandia,70000000,513120,Asia
